[DEBUG] | DEBUG ocr_service.py:95 - 2025-03-19 01:26:34.887 | DEBUG | ocr_service.py:_create_directories:95 | Directories created: uploads=/Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/uploads, processed=/Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/processed_data
[DEBUG] | DEBUG ocr_service.py:86 - 2025-03-19 01:26:34.888 | DEBUG | ocr_service.py:__init__:86 | OCRService initialized with languages=['en'], use_gpu=False
[INFO] | 2025-03-19 01:26:34.888 | INFO | gesture_service.py:__init__:58 | GestureService configuration loaded successfully
[DEBUG] | DEBUG gesture_service.py:70 - 2025-03-19 01:26:34.981 | DEBUG | gesture_service.py:__init__:70 | MediaPipe Hands initialized with max_num_hands=2
[INFO] | 2025-03-19 01:26:34.981 | INFO | gesture_service.py:__init__:75 | FaceService initialized for GestureService
[INFO] | 2025-03-19 18:24:21.623 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:22.245 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:25.328 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:28.422 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:28.916 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:31.162 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:38.368 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:38.832 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:40.950 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:48.418 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:48.880 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:50.880 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:58.363 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:24:58.821 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:25:00.866 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:25:08.429 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:25:08.906 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:25:10.953 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:34:25.488 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:34:26.063 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:34:28.728 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:34:32.029 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:34:32.538 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:34:34.813 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:34:34.952 | INFO | logging_setup.py:setup_logging:40 | Unified logging initialized with config from /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/unified_logging/configs.toml
[INFO] | 2025-03-19 18:34:34.954 | INFO | ocr_service.py:__init__:60 | OCRService configuration loaded successfully
[DEBUG] | DEBUG ocr_service.py:95 - 2025-03-19 18:34:34.954 | DEBUG | ocr_service.py:_create_directories:95 | Directories created: uploads=/Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/uploads, processed=/Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/processed_data
[DEBUG] | DEBUG ocr_service.py:86 - 2025-03-19 18:34:34.954 | DEBUG | ocr_service.py:__init__:86 | OCRService initialized with languages=['en'], use_gpu=False
[INFO] | 2025-03-19 18:34:34.955 | INFO | gesture_service.py:__init__:58 | GestureService configuration loaded successfully
[DEBUG] | DEBUG gesture_service.py:70 - 2025-03-19 18:34:35.061 | DEBUG | gesture_service.py:__init__:70 | MediaPipe Hands initialized with max_num_hands=2
[INFO] | 2025-03-19 18:34:35.061 | INFO | gesture_service.py:__init__:75 | FaceService initialized for GestureService
[INFO] | 2025-03-19 18:34:35.061 | INFO | service.py:__init__:43 | DocumentProcessor initialized with storage dir: /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/storage
[INFO] | 2025-03-19 18:49:59.516 | INFO | service.py:process_id_document:98 | Processing ID document from image data
[DEBUG] | DEBUG service.py:200 - 2025-03-19 18:49:59.518 | DEBUG | service.py:_save_session_data:200 | Saved session data to /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/storage/77c9d119-ed8d-4814-b9ff-4e1e31df1d24.json
[WARNING] | WARNING service.py:80 - 2025-03-19 18:49:59.535 | WARNING | service.py:validate_file_type:80 | Unsupported file type: text/plain
[INFO] | 2025-03-19 18:50:15.080 | INFO | service.py:process_id_document:98 | Processing ID document from image data
[DEBUG] | DEBUG service.py:200 - 2025-03-19 18:50:15.082 | DEBUG | service.py:_save_session_data:200 | Saved session data to /Users/drago_codes/Documents/Data_Sci_ALL/ML Ops/CV Project/Onboardly/storage/2947bb78-a7b9-4016-8852-818f60fce403.json
[WARNING] | WARNING service.py:80 - 2025-03-19 18:50:15.083 | WARNING | service.py:validate_file_type:80 | Unsupported file type: text/plain
